"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"Medium Rugged Twill Duffle Bag","Portland","11070325-fco-000971913","USD","1190.0","0.0","1190.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936245","USD","1050.0","0.0","1050.0","3"
"Tin Cloth Compact Briefcase","Portland","20263587-fco-000000092","USD","885.0","0.0","885.0","3"
"24 Hour Tin Cloth Briefcase","Portland","20231633-fco-000000074","USD","790.0","0.0","790.0","2"
"Foul Weather Jacket","Portland","20232887-fco-000000043","USD","790.0","0.0","790.0","2"
"24 Hour Tin Cloth Briefcase","Portland","20231633-fco-000000073","USD","790.0","0.0","790.0","2"
"Cavalry Wool Field Jacket","Portland","20263382-fco-000000089","USD","725.0","0.0","725.0","1"
"Journeyman Backpack","Portland","20282278-fco-000000074","USD","711.0","0.0","711.0","2"
"Down Cruiser Parka","Portland","20236378-fco-000000053","USD","695.0","0.0","695.0","1"
"Tin Cloth Insulated Work Vest","Portland","20172090-fco-000000042","USD","675.0","225.0","450.0","3"
"Medium Rugged Twill Duffle Bag","Portland","11070325-fco-000971912","USD","595.0","0.0","595.0","1"
"Medium Rugged Twill Duffle Bag - Tan","Portland","11070325-fco-000971914","USD","595.0","0.0","595.0","1"
"Tin Cloth Primaloft® Jacket","Portland","20263397-fco-025022458","USD","590.0","0.0","590.0","2"
"Moleskin Seattle Shirt","Portland","11010394-fco-000000134","USD","585.0","0.0","585.0","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000105","USD","560.0","0.0","560.0","2"
"Henley Guide Sweater","Portland","11010692-fco-000170241","USD","550.0","0.0","550.0","1"
"Tin Cloth Quarter Zip Pullover","Portland","20263399-fco-000000042","USD","531.0","0.0","531.0","3"
"Down Liner Jacket","Portland","20263404-fco-022851043","USD","531.0","0.0","531.0","3"
"Wool Jac-shirt","Portland","20288328-fco-025011092","USD","500.0","0.0","500.0","2"
"Small Rugged Twill Duffle Bag","Portland","11070220-fco-000971913","USD","495.0","0.0","495.0","1"
"Rugged Twill Original Briefcase","Portland","11070256-fco-000971912","USD","495.0","0.0","495.0","1"
"48 Hour Tin Cloth Duffle Bag","Portland","20231634-fco-000000074","USD","495.0","0.0","495.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000170251","USD","495.0","0.0","495.0","1"
"48 Hour Tin Cloth Duffle Bag","Portland","20282280-fco-000000092","USD","495.0","495.0","0.0","1"
"Rugged Twill Original Briefcase","Portland","11070256-fco-000971913","USD","495.0","0.0","495.0","1"
"Lined Denim Short Cruiser Jacket","Portland","20172080-fco-012796320","USD","495.0","495.0","0.0","1"
"Small Tin Cloth Duffle Bag","Portland","20263594-fco-000000074","USD","475.0","0.0","475.0","2"
"Tin Cloth Field Jacket","Portland","20232829-fco-000000042","USD","465.0","0.0","465.0","1"
"Prospector Hoodie","Portland","20204496-fco-025011230","USD","460.0","0.0","460.0","4"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-023120923","USD","455.0","0.0","455.0","1"
"Dry Tin Cloth Bibs","Portland","20277940-fco-018498340","USD","450.0","0.0","450.0","2"
"Field Jac-shirt","Portland","20277936-fco-025019478","USD","450.0","0.0","450.0","2"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-022851665","USD","450.0","0.0","450.0","1"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-022851670","USD","450.0","0.0","450.0","1"
"Field Jac-shirt","Portland","20277936-fco-025019477","USD","450.0","0.0","450.0","2"
"Field Jac-shirt","Portland","20277936-fco-025019479","USD","450.0","0.0","450.0","2"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000119","USD","445.5","0.0","445.5","1"
"Wool Blanket","Portland","20263627-fco-022857839","USD","445.5","0.0","445.5","2"
"Chambray CPO Shirt","Portland","20189139-fco-012494920","USD","435.0","145.0","290.0","4"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000042","USD","425.0","0.0","425.0","1"
"Wool Roll Neck Fisherman's Sweater","Portland","20263571-fco-022858020","USD","425.0","0.0","425.0","1"
"Heritage Sportsman Bag","Portland","20231635-fco-000002576","USD","425.0","0.0","425.0","1"
"Tin Cloth Cruiser Jacket","Portland","20271278-fco-000000045","USD","425.0","0.0","425.0","1"
"Wool Roll Neck Fisherman's Sweater","Portland","20263571-fco-022858018","USD","425.0","0.0","425.0","1"
"Lined Mackinaw Wool Jac-shirt","Portland","20232893-fco-022851668","USD","405.0","0.0","405.0","1"
