"Sale Product Name","Sale Location","Sale Product SKU","Sale Order Currency","Gross Sale Price","Total Return Refund Net","Actual Net Sales","Item Qty."
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000042","USD","2712.5","0.0","2712.5","10"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000045","USD","2012.5","0.0","2012.5","7"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000043","USD","1960.0","0.0","1960.0","7"
"Medium Rugged Twill Duffle Bag","Portland","20195531-fco-000971912","USD","1487.5","0.0","1487.5","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-025041833","USD","1487.5","350.0","1137.5","5"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000099","USD","1435.0","0.0","1435.0","5"
"Crewneck Guide Sweater","Portland","11010691-fco-010759449","USD","1045.0","495.0","550.0","3"
"Lined Mackinaw Wool Packer Coat","Portland","20266728-fco-025728045","USD","975.0","0.0","975.0","1"
"Small Rugged Twill Duffle Bag","Portland","20192729-fco-000971914","USD","940.5","0.0","940.5","2"
"MACKINAW WOOL WORK JACKET","Portland","F20266329-1-GraystnBk-025733695","USD","892.5","0.0","892.5","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000105","USD","875.0","0.0","875.0","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000046","USD","787.5","0.0","787.5","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-025041835","USD","787.5","0.0","787.5","3"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936243","USD","787.5","0.0","787.5","3"
"Down Cruiser Jacket","Portland","20069543-fco-000000042","USD","742.5","0.0","742.5","2"
"Tin Cloth Compact Briefcase","Portland","20263587-fco-000000073","USD","737.5","0.0","737.5","3"
"Lined Mackinaw Wool Packer Coat","Portland","20266728-fco-025728041","USD","731.25","0.0","731.25","1"
"LINED WOOL PACKER COAT","Portland","F20266728-1-BrgndyDkOv-025728041","USD","731.0","0.0","731.0","1"
"Down Cruiser Parka","Portland","20236378-fco-000001491","USD","695.0","695.0","0.0","1"
"Mackinaw Wool Hooded Cruiser Jacket","Portland","20285030-fco-000170252","USD","650.0","0.0","650.0","2"
"Heathered Wool Jac-shirt","Portland","20293582-fco-027888781","USD","650.0","0.0","650.0","3"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-025733695","USD","630.0","0.0","630.0","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000107","USD","612.5","0.0","612.5","2"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000101","USD","612.5","350.0","262.5","3"
"Medium Rugged Twill Duffle Bag","Portland","20195531-fco-000971914","USD","595.0","0.0","595.0","1"
"HENLEY GUIDE SWEATER","Portland","11010692-fco-000000105","USD","595.0","0.0","595.0","1"
"Worksmith Insulated Jacket","Portland","20285032-fco-025887152","USD","590.0","295.0","295.0","2"
"Worksmith Insulated Jacket","Portland","20285032-fco-000000101","USD","590.0","590.0","0.0","2"
"Women's Lined Wool Packer Coat","Portland","20289081-fco-025929497","USD","585.0","0.0","585.0","1"
"Women's Lined Wool Packer Coat","Portland","20289081-fco-025929500","USD","585.0","0.0","585.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000123","USD","550.0","0.0","550.0","1"
"MACKINAW CRUISER","Portland","F20266330-1-Charcoal-000000537","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000112","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000833","USD","550.0","0.0","550.0","1"
"Crewneck Guide Sweater","Portland","11010691-fco-000170250","USD","550.0","0.0","550.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000170252","USD","550.0","0.0","550.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936246","USD","525.0","0.0","525.0","2"
"Dry Tin Cloth Forester Jac-shirt","Portland","20293581-fco-027888635","USD","525.0","0.0","525.0","4"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-021936245","USD","525.0","0.0","525.0","2"
"Dryden Backpack","Portland","20295178-fco-000274966","USD","503.5","0.0","503.5","2"
"ORIGINAL BRIEFCASE","Portland","F20195528-1-Navy-000971912","USD","495.0","0.0","495.0","1"
"48 Hour Tin Cloth Duffle Bag","Portland","20282280-fco-000000073","USD","495.0","0.0","495.0","1"
"Rugged Twill Original Briefcase","Portland","11070256-fco-000971913","USD","495.0","495.0","0.0","1"
"48HR DUFFLE","Portland","F2520282280-1-OtterGreen-OS-VNM","USD","495.0","0.0","495.0","1"
"Rugged Twill Original Briefcase","Portland","20195528-fco-000971912","USD","495.0","0.0","495.0","1"
"Mackinaw Wool Bibs","Portland","11014011-fco-000000175","USD","495.0","0.0","495.0","1"
"Heathered Wool Jac-shirt","Portland","20293582-fco-027888783","USD","475.0","0.0","475.0","2"
"Waffle Knit Thermal Crewneck","Portland","20067706-fco-000000089","USD","475.0","0.0","475.0","5"
"Tin Cloth Field Jacket","Portland","20232829-fco-000000054","USD","465.0","0.0","465.0","1"
"Mackinaw Wool Vest","Portland","20266328-fco-000170252","USD","450.0","225.0","225.0","2"
"Double Hunting Bibs W/Zipper","Portland","20232837-fco-017508948","USD","450.0","0.0","450.0","1"
"Down Bomber Jacket","Portland","20285040-fco-000000053","USD","450.0","0.0","450.0","1"
"48 Hour Tin Cloth Duffle Bag - Dark Tan","Portland","20231634-fco-000000073","USD","445.5","0.0","445.5","1"
"Mackinaw Wool Field Pants","Portland","11014010-fco-000000174","USD","445.0","0.0","445.0","1"
"Worksmith Insulated Bomber Jacket","Portland","20285037-fco-025887151","USD","427.75","0.0","427.75","2"
"Double Hunting Bibs W/Zipper","Portland","20232837-fco-017508945","USD","405.0","0.0","405.0","1"
"Wool Jac-shirt","Portland","20288328-fco-027888806","USD","400.0","0.0","400.0","2"
"Journeyman Backpack","Portland","20282278-fco-000000074","USD","395.0","0.0","395.0","1"
"Stetson Wolf Canyon Hat","Portland","20031028-fco-000274115","USD","375.0","0.0","375.0","1"
"Stetson Wolf Canyon Hat","Portland","20031028-fco-000000095","USD","375.0","0.0","375.0","1"
"Beartooth Jac-shirt","Portland","20277935-fco-026480778","USD","354.0","0.0","354.0","2"
"BEARTOOTH JAC-SHIRT","Portland","F20277935-1-BldstnTan-026480778","USD","354.0","0.0","354.0","2"
"SHORT LINED CRUISER","Portland","F20232828-1-DarkTan-000000043","USD","350.0","0.0","350.0","1"
"SHORT LINED CRUISER","Portland","20232828-fco-000000357","USD","350.0","0.0","350.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000103","USD","350.0","350.0","0.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000356","USD","350.0","0.0","350.0","1"
"SHORT LINED CRUISER","Portland","F20232828-1-Black-000000798","USD","350.0","0.0","350.0","1"
"SHORT LINED CRUISER","Portland","20232828-fco-000000099","USD","350.0","0.0","350.0","1"
"DOWN CRUISER VEST (RDS)","Portland","F20070978-1-OtterGreen-000000053","USD","345.0","0.0","345.0","1"
"Prospector Hoodie","Portland","20204496-fco-025905856","USD","345.0","0.0","345.0","3"
"Stetson Wolf Canyon Hat","Portland","20031028-fco-000304578","USD","337.5","0.0","337.5","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000844","USD","330.0","0.0","330.0","1"
"Mackinaw Wool Cruiser Jacket","Portland","20266330-fco-000000119","USD","330.0","0.0","330.0","1"
"Women's Mackinaw Wool Cruiser Jacket","Portland","20289078-fco-000000833","USD","330.0","0.0","330.0","1"
"Women's Mackinaw Wool Cruiser Jacket","Portland","20289078-fco-000000844","USD","330.0","0.0","330.0","1"
"WESTERN VEST","Portland","F20272328-1-ForestGrn-000000113","USD","325.0","0.0","325.0","1"
"W'S SHORT LINED CRUISER","Portland","20289086-fco-000000101","USD","325.0","0.0","325.0","1"
"MACKINAW WOOL HOODED CRUISER JACKET","Portland","F20285030-1-DkTimberBk-025739030","USD","325.0","0.0","325.0","1"
"Women's Short Lined Cruiser Jacket","Portland","20289086-fco-000000103","USD","325.0","0.0","325.0","1"
"Women's Short Lined Cruiser Jacket","Portland","20289086-fco-000000044","USD","325.0","0.0","325.0","1"
"SHORT LINED CRUISER","Portland","F20232828-1-MltyGrn-025041833","USD","315.0","0.0","315.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000357","USD","315.0","0.0","315.0","1"
"Dry Tin Cloth 5-pocket Pants","Portland","20155578-fco-027940205","USD","310.0","0.0","310.0","2"
"Dry Tin Cloth 5-pocket Pants","Portland","20155578-fco-007861368","USD","310.0","0.0","310.0","2"
"MACKINAW WOOL JAC-SHIRT","Portland","F20292528-1-KellyGrnBk-026724206","USD","297.0","0.0","297.0","1"
"Mackinaw Wool Jac-shirt","Portland","20292528-fco-025953548","USD","297.0","0.0","297.0","1"
"MACKINAW WOOL JAC-SHIRT","Portland","F20292528-1-CreamMultP-025953543","USD","297.0","0.0","297.0","1"
"Women's Dry Tin Duster Coat","Portland","20289088-fco-000001671","USD","297.0","0.0","297.0","1"
"Mackinaw Wool Jac-shirt","Portland","20292528-fco-025953546","USD","297.0","0.0","297.0","1"
"48 Hour Tin Cloth Duffle Bag","Portland","20282280-fco-000000074","USD","297.0","0.0","297.0","1"
"Mackinaw Wool Western Vest","Portland","20272328-fco-000000123","USD","295.0","0.0","295.0","1"
"Tin Cloth Primaloft® Jacket","Portland","20263397-fco-000000105","USD","295.0","0.0","295.0","1"
"Tin Cloth Primaloft® Jacket","Portland","20263397-fco-000000415","USD","295.0","0.0","295.0","1"
"Worksmith Insulated Jacket","Portland","20285032-fco-025887153","USD","295.0","0.0","295.0","1"
"Medium Tin Cloth Duffle Bag","Portland","20297431-fco-000000074","USD","295.0","0.0","295.0","1"
"Tin Cloth Primaloft® Jacket","Portland","20263397-fco-000000101","USD","295.0","0.0","295.0","1"
"Worksmith Insulated Jacket","Portland","20285032-fco-000000099","USD","295.0","0.0","295.0","1"
"Women's Dry Tin Barn Coat","Portland","20289087-fco-000000075","USD","295.0","0.0","295.0","1"
"Worksmith Insulated Jacket","Portland","20285032-fco-000000103","USD","295.0","0.0","295.0","1"
"WORKSMITH INSULATED BOMBER JACKET","Portland","F20285037-1-Black-000000101","USD","295.0","0.0","295.0","1"
"TIN CLOTH PRIMALOFT® JACKET","Portland","20263397-fco-000000105","USD","295.0","0.0","295.0","1"
"WORKSMITH INSULATED JACKET","Portland","20285032-fco-000000101","USD","295.0","0.0","295.0","1"
"Mackinaw Wool Western Vest","Portland","20272328-fco-000000113","USD","295.0","0.0","295.0","1"
"Tin Cloth Primaloft® Jacket","Portland","20263397-fco-000000103","USD","295.0","0.0","295.0","1"
"Worksmith Insulated Jacket","Portland","20285032-fco-000000415","USD","295.0","295.0","0.0","1"
"RANGER SHORT CRUISER","Portland","F20291978-1-Olive-000000457","USD","292.5","0.0","292.5","2"
"Chambray Cpo Shirt","Portland","20189139-fco-012495221","USD","290.0","0.0","290.0","2"
"Dry Tin Cloth Forester Jac-shirt","Portland","20293581-fco-027888634","USD","280.0","0.0","280.0","2"
"Tin Cloth Field Jacket","Portland","20232829-fco-000000088","USD","279.0","0.0","279.0","1"
"Women's Short Lined Cruiser Jacket","Portland","20289086-fco-000000099","USD","276.25","0.0","276.25","1"
"Wool Watch Cap","Portland","11030235-fco-000000074","USD","275.0","0.0","275.0","6"
"Skinner Fixed-Blade Knife","Portland","20163733-fco-000000040","USD","270.0","0.0","270.0","2"
"Down Jac-shirt","Portland","20285039-fco-000000042","USD","270.0","0.0","270.0","1"
"Prospector Full-zip Hoodie","Portland","20205731-fco-000000134","USD","270.0","0.0","270.0","2"
"TIN CLOTH MEDIUM DUFFLE BAG","Portland","F20297431-1-OtterGreen-000000074","USD","265.5","0.0","265.5","1"
"Mackinaw Wool Western Vest","Portland","20272328-fco-000000538","USD","265.5","0.0","265.5","1"
"Beartooth Jac-shirt","Portland","20277935-fco-026480776","USD","265.5","0.0","265.5","2"
"W'S RANGER RAINCOAT","Portland","F20298183-1-Navy-000000089","USD","265.0","0.0","265.0","1"
"DRYDEN BACKPACK","Portland","F20295178-1-Whiskey-000274966","USD","265.0","0.0","265.0","1"
"W'S RANGER RAINCOAT","Portland","F20298183-1-Navy-000000076","USD","265.0","265.0","0.0","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000047","USD","262.5","0.0","262.5","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-025041861","USD","262.5","0.0","262.5","1"
"Mackinaw Wool Work Jacket","Portland","20266329-fco-023120923","USD","262.5","0.0","262.5","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-025010211","USD","262.5","0.0","262.5","1"
"Tin Cloth Short Lined Cruiser Jacket","Portland","20232828-fco-000000359","USD","262.5","0.0","262.5","1"
"MACKINAW WOOL WORK JACKET","Portland","F20266329-1-BluCprHth-023120922","USD","262.5","0.0","262.5","1"
"TIN CRUISER","Portland","F20271278-1-DarkTan-000000046","USD","255.0","0.0","255.0","1"
"JAC-SHIRT","Portland","F20293582-1-BlueHtr-027888783","USD","250.0","0.0","250.0","1"
"JAC-SHIRT","Portland","F20288328-1-PineBeige-027888810","USD","250.0","0.0","250.0","1"
"JAC-SHIRT","Portland","F20293582-1-BlueHtr-027888785","USD","250.0","0.0","250.0","1"
"FIELD CRUISER (REVERSE SATEEN)","Portland","F20293578-1-WshdFtgGrn-025019911","USD","250.0","0.0","250.0","1"
"Field Cruiser Jacket","Portland","20293578-fco-025019479","USD","250.0","0.0","250.0","1"
"Prospector Embroidered Hoodie","Portland","20293804-fco-027930993","USD","250.0","0.0","250.0","2"
"Small Tin Cloth Duffle Bag","Portland","20297429-fco-000000074","USD","250.0","0.0","250.0","1"
"Wool Jac-shirt","Portland","20288328-fco-027889262","USD","250.0","0.0","250.0","1"
"Wool Jac-shirt","Portland","20288328-fco-027888808","USD","250.0","0.0","250.0","1"
"Field Cruiser Jacket","Portland","20293578-fco-025019911","USD","250.0","0.0","250.0","1"
"Wool Watch Cap","Portland","11030235-fco-000002341","USD","250.0","0.0","250.0","6"
"Wool Jac-shirt","Portland","20288328-fco-027889264","USD","250.0","250.0","0.0","1"
"Waffle Knit Thermal Crewneck","Portland","20067706-fco-000000076","USD","247.0","0.0","247.0","3"
"Swiftwater Rain Jacket","Portland","20248728-fco-001599781","USD","245.0","0.0","245.0","1"
"SWIFTWATER RAIN JACKET","Portland","20248728-fco-001599738","USD","245.0","0.0","245.0","1"
"Swiftwater Rain Jacket","Portland","20248728-fco-001599738","USD","245.0","0.0","245.0","1"
"Women's Short Lined Cruiser Jacket","Portland","20289086-fco-000000105","USD","243.75","0.0","243.75","1"
"Women's Short Lined Cruiser Jacket","Portland","20289086-fco-000000042","USD","243.75","0.0","243.75","1"
"Ranger Insulated Anorak","Portland","20285036-fco-007535287","USD","237.0","0.0","237.0","1"
"W'S WAXED DOWN BARN COAT","Portland","20289093-fco-025930275","USD","237.0","0.0","237.0","1"
"Women's Waxed Down Barn Coat","Portland","20289093-fco-025930276","USD","237.0","0.0","237.0","1"
"OIL FIN DBL TIN BIBS","Portland","F20232836-1-DarkTan-000002061","USD","237.0","0.0","237.0","1"
"Waffle Knit Henley","Portland","20288578-fco-007558722","USD","230.0","0.0","230.0","2"
"Waffle Knit Henley","Portland","20233067-fco-005932647","USD","230.0","0.0","230.0","2"
"Waffle Knit Henley","Portland","20233067-fco-005932645","USD","230.0","0.0","230.0","2"
"Titanium Frame-lock Knife","Portland","20205538-fco-000002349","USD","225.0","0.0","225.0","1"
"Tin Cloth Insulated Work Vest","Portland","20172090-fco-000000099","USD","225.0","0.0","225.0","1"
"Tin Cloth Insulated Work Vest","Portland","20172090-fco-000000042","USD","225.0","0.0","225.0","2"
"Field Cargo Pants","Portland","20233133-fco-011280481","USD","225.0","0.0","225.0","1"
"Mackinaw Wool Vest","Portland","20266328-fco-000000117","USD","225.0","0.0","225.0","1"
"FIELD CARGO PANTS (REVERSE SATEEN)","Portland","F20233133-1-BlueMussel-011280483","USD","225.0","0.0","225.0","1"
"TIN CLOTH PRIMALOFT® VEST","Portland","F20248735-1-DarkTan2-025772202","USD","225.0","0.0","225.0","1"
"400G MERINO HOODIE","Portland","F20114900-1-DarkOlive-000000135","USD","225.0","0.0","225.0","1"
"Mackinaw Wool Vest Liner","Portland","20266331-fco-000000123","USD","225.0","0.0","225.0","1"
"Field Cargo Pants","Portland","20233133-fco-025020942","USD","225.0","0.0","225.0","1"
"Oil Finish Double Tin Cloth Pants","Portland","20204456-fco-000002696","USD","225.0","0.0","225.0","1"
"OIL FIN DBL TIN PANT","Portland","20204456-fco-014059963","USD","225.0","0.0","225.0","1"
"Field Cargo Pants","Portland","20233133-fco-025020941","USD","225.0","0.0","225.0","1"
"MACKINAW WOOL VEST","Portland","F20266328-1-Charcoal-000000112","USD","225.0","0.0","225.0","1"
