Sale Product Name,Sale Location,Sale Product SKU,Sale Order Currency,Gross Sale Price,Total Return Refund Net,Actual Net Sales,Item Qty.
DRYDEN BACKPACK,Portland,F2020295178-1-Wsk-OS-VNM,USD,0.0,0.0,0.0,14
DRYDEN BACKPACK,Portland,F2020295178-1-OtrGrn-OS-VNM,USD,544.0,0.0,544.0,12
FILSON'S OIL FINISH WAX,Portland,F1020278928-1-NoColor-OS-USA,USD,45.0,4.5,40.5,10
LOGGER MESH CAP,Portland,F1320301479-1-Nvy-OS-VNM,USD,345.1,0.0,345.1,9
LOGGER MESH CAP,Portland,F1311030237-1-Blk-OS-VNM,USD,327.0,0.0,327.0,7
LOW-PROFILE LOGGER CAP (EMBROIDERED),Portland,F1320294431-1-Pecan-OS-VNM,USD,269.5,0.0,269.5,7
LOGGER MESH CAP,Portland,F1311030237-1-OtrGrn-OS-VNM,USD,282.0,49.0,233.0,6
LIGHTWEIGHT ANGLER CAP,Portland,F1320054028-1-DkForEvGrn-OS-VNM,USD,112.5,0.0,112.5,5
CLARKSTON DOUBLE FRONT PANTS,Portland,F1420299355-1-SurplusGrn-S-LKA,USD,422.75,112.5,310.25,4
OIL TIN LOW-PROFILE LOGGER CAP,Portland,F1320271578-1-OtrGrn-OS-VNM,USD,245.0,60.0,185.0,4
48HR DUFFLE,Portland,F2020282280-1-DkTan-OS-VNM,USD,1489.0,0.0,1489.0,3
JOURNEYMAN BACKPACK,Portland,F2020282278-1-OtrGrn-OS-VNM,USD,962.67,0.0,962.67,3
SHORT LINED CRUISER,Portland,F1420232828-1-CastorGry-XL-BGD,USD,910.0,0.0,910.0,3
CANVAS OUTFITTER JACKET,Portland,F1420299335-1-TndrShbCmo-L-LKA,USD,507.0,0.0,507.0,3
W'S CANVAS BARN COAT,Portland,F1520298185-1-FeatherGry-S-IND,USD,495.0,0.0,495.0,3
CHAMBRAY CPO SHIRT,Portland,F1420189139-1-LtInd-S-LKA,USD,443.0,0.0,443.0,3
LT WT ALASKAN GUIDE SHIRT,Portland,F1420293594-1-MdntNvy-M-LKA,USD,405.0,0.0,405.0,3
W'S 9-OZ. DENIM WORK JEANS,Portland,F1520298203-1-DkRns-26-LKA,USD,385.0,0.0,385.0,3
SHORT SLEEVE CHAMBRAY SHIRT,Portland,F1420248774-1-RnsInd-L-LKA,USD,375.0,0.0,375.0,3
VINTAGE WASH ALASKAN GUIDE SHIRT,Portland,F1420233069-1-BluDkBrnPd-M-LKA,USD,323.8,0.0,323.8,3
WAFFLE KNIT THERMAL CREWNECK,Portland,F1420288128-1-LtHthGry-M-PER,USD,285.0,0.0,285.0,3
210G MERINO SHORT SLEEVE CREW,Portland,F1420067699-1-DkNvy-M-LKA,USD,285.0,0.0,285.0,3
JOURNEYMAN BACKPACK,Portland,F2020282278-1-Tan-OS-VNM,USD,276.5,525.35,-248.85000000000000,3
THE RANGELAND FLANNEL SHIRT,Portland,F1420293590-1-LtHthGry-M-IND,USD,270.5,0.0,270.5,3
OAKVILLE CANVAS SHORTS,Portland,F1420293588-1-BrzBrn-S-LKA,USD,255.0,85.0,170.0,3
OAKVILLE CANVAS SHORTS,Portland,F1420293588-1-Gravel-M-LKA,USD,255.0,85.0,170.0,3
TWIN LAKES SHORT SLEEVE SPORT SHIRT,Portland,F1420277947-1-GraniteGrn-L-LKA,USD,240.1,44.1,196.0,3
FILSON X TEN THOUSAND TACTICAL SHIRT,Portland,F1420294528-1-StormBlu-L-CHN,USD,222.0,0.0,222.0,3
FILSON CANDLE,Portland,F3020206178-1-GdnTan-OS-USA,USD,150.0,0.0,150.0,3
LOGGER MESH CAP,Portland,F1320294428-1-WheatFire-OS-VNM,USD,110.25,0.0,110.25,3
TRUCKER CAP (W/ GRAPHIC PATCH),Portland,F1320293830-1-Grn-OS-VNM,USD,110.25,0.0,110.25,3
FIELD FLANNEL SHIRT,Portland,F1420172107-1-BrnPrt-M-IND,USD,104.7,0.0,104.7,3
DUFFLE - MEDIUM,Portland,F2020195531-1-OtrGrn-OS-USA,USD,1194.0,0.0,1194.0,2
DOWN CRUISER PARKA (RDS),Portland,F1420236378-1-OtrGrn-M-BGD,USD,1181.5,0.0,1181.5,2
48HR DUFFLE,Portland,F2020282280-1-OtrGrn-OS-VNM,USD,998.0,0.0,998.0,2
SHORT LINED CRUISER,Portland,F1420232828-1-ServiceBlu-M-BGD,USD,709.0,359.0,350.0,2
SHORT LINED CRUISER,Portland,F1420232828-1-CastorGry-L-BGD,USD,709.0,0.0,709.0,2
WESTERN VEST,Portland,F1420272328-1-ForGrn-L-USA,USD,650.0,325.0,325.0,2
JOURNEYMAN BACKPACK,Portland,F2020282278-1-Nvy-OS-VNM,USD,634.4,239.4,395.0,2
MACKINAW WOOL JAC-SHIRT,Portland,F1420292528-1-CrmMtiPd-M-USA,USD,594.0,0.0,594.0,2
