Product Name,SKU,Size,Color,Price,Currency,Location,In Stock,Reserved,Allocated,Safety Stock,ATP,Last Stock Import,Timezone,Last Mispick,Mispick Timezone,Present ATP,Future ATP,Future Availability Date
Natural Leather Bear Toy,20205506-fco-000002343,,Natural,8.99,USD,50003,0,0,0,0,0,,,,,0,0,
Buffalo Squeaker Toy,20205507-fco-000002314,,Brown,9999.99,USD,50003,0,0,0,0,0,,,,,0,0,
Filson x Buck Knives® 110 Folding Hunter Pro Knife,20188842-fco-000001277,,Olive,130,USD,50003,0,0,0,0,0,,,,,0,0,
Stanley Ceramic Growler,20174406-fco-008553651,,Asphalt,95,USD,50003,0,0,0,0,0,,,,,0,0,
Stanley Master Flask,20174404-fco-000000110,,Black,50,USD,50003,0,0,0,0,0,,,,,0,0,
Stanley Master Vacuum Bottle 25OZ,20174405-fco-000000110,,Black,65,USD,50003,0,0,0,0,0,,,,,0,0,
Stanley Admiral's Mug,20174407-fco-000000110,,Black,45,USD,50003,0,0,0,0,0,,,,,0,0,
Stanley Master Vacuum Bottle 1.4QT,20174403-fco-000000110,,Black,85,USD,50003,0,0,0,0,0,,,,,0,0,
Filson x Merrell MQM Trail Runner,20169079-fco-010007921,8,Olive,160,USD,50003,0,0,0,0,0,,,,,0,0,
Filson x Merrell MQM Trail Runner,20169079-fco-010740143,9,Olive,160,USD,50003,0,0,0,0,0,,,,,0,0,
Filson x XTRATUF®️ Drink Sleeve,20002612-fco-000270881,,Brown,12,USD,50003,0,0,0,0,0,,,,,0,0,
"Filson X Xtratuf 12"" Insulated Elite Boots",20138030-fco-000233393,7,Brown,195,USD,50003,0,0,0,0,0,,,,,0,0,
"Filson X Xtratuf 12"" Insulated Elite Boots",20138030-fco-000233394,8,Brown,195,USD,50003,0,0,0,0,0,,,,,0,0,
"Filson X Xtratuf 12"" Insulated Elite Boots",20138030-fco-000002664,9,Brown,195,USD,50003,0,0,0,0,0,,,,,0,0,
"Filson X Xtratuf 12"" Insulated Elite Boots",20138030-fco-000233395,10,Brown,195,USD,50003,0,0,0,0,0,,,,,0,0,
"Filson X Xtratuf 12"" Insulated Elite Boots",20138030-fco-000002662,11,Brown,195,USD,50003,0,0,0,0,0,,,,,0,0,
"Filson X Xtratuf 12"" Insulated Elite Boots",20138030-fco-007598161,12,Brown,195,USD,50003,0,0,0,0,0,,,,,0,0,
"Filson X Xtratuf 12"" Insulated Elite Boots",20138030-fco-007598162,13,Brown,195,USD,50003,0,0,0,0,0,,,,,0,0,
TACTICAL BOOT SOCK,F1320129978-1-MilGrn-XL-USA,XL,Mltrygrn,9999.99,USD,50003,0,0,0,0,0,,,,,0,0,
Tactical Boot Sock,20129978-fco-002108303,XL,CoyoteBrwn,13,USD,50003,0,0,0,0,0,,,,,0,0,
