"Product Name","Product ID","SKU","Size","Color","Price","Currency","Fulfillment Location","Store Name","Stock Location","On Hand"
"","012575199423","","","","","","50003","Portland","Main",0
"","012575199430","","","","","","50003","Portland","Main",0
"","012575199447","","","","","","50003","Portland","Main",0
"Natural Leather Bear Toy","022266170235","20205506-fco-000002343","","Natural",8.99,"USD","50003","Portland","Main",0
"Buffalo Squeaker Toy","022266172048","20205507-fco-000002314","","Brown",9999.99,"USD","50003","Portland","Main",0
"","022266172802","","","","","","50003","Portland","Main",0
"Filson x Buck Knives® 110 Folding Hunter Pro Knife","033753159176","20188842-fco-000001277","","Olive",130.0,"USD","50003","Portland","Main",0
"Stanley Ceramic Growler","041604323089","20174406-fco-008553651","","Asphalt",95.0,"USD","50003","Portland","Main",0
"Stanley Master Flask","041604327674","20174404-fco-000000110","","Black",50.0,"USD","50003","Portland","Main",0
"Stanley Master Vacuum Bottle 25OZ","041604332982","20174405-fco-000000110","","Black",65.0,"USD","50003","Portland","Main",0
"Stanley Admiral's Mug","041604333002","20174407-fco-000000110","","Black",45.0,"USD","50003","Portland","Main",0
"Stanley Master Vacuum Bottle 1.4QT","041604333248","20174403-fco-000000110","","Black",85.0,"USD","50003","Portland","Main",0
"Filson x Merrell MQM Trail Runner","044211561974","20169079-fco-010007921","8","Olive",160.0,"USD","50003","Portland","Main",0
"Filson x Merrell MQM Trail Runner","044211561998","20169079-fco-010740143","9","Olive",160.0,"USD","50003","Portland","Main",0
"","044211562049","","","","","","50003","Portland","Main",0
"","048323572262","","","","","","50003","Portland","Main",0
"Filson x XTRATUF®️ Drink Sleeve","086189080248","20002612-fco-000270881","","Brown",12.0,"USD","50003","Portland","Main",0
"Filson X Xtratuf 12"" Insulated Elite Boots","086189121590","20138030-fco-000233393","7","Brown",195.0,"USD","50003","Portland","Main",0
"Filson X Xtratuf 12"" Insulated Elite Boots","086189121606","20138030-fco-000233394","8","Brown",195.0,"USD","50003","Portland","Main",0
"Filson X Xtratuf 12"" Insulated Elite Boots","086189121613","20138030-fco-000002664","9","Brown",195.0,"USD","50003","Portland","Main",0
"Filson X Xtratuf 12"" Insulated Elite Boots","086189121620","20138030-fco-000233395","10","Brown",195.0,"USD","50003","Portland","Main",0
"Filson X Xtratuf 12"" Insulated Elite Boots","086189121637","20138030-fco-000002662","11","Brown",195.0,"USD","50003","Portland","Main",0
"Filson X Xtratuf 12"" Insulated Elite Boots","086189121644","20138030-fco-007598161","12","Brown",195.0,"USD","50003","Portland","Main",0
"Filson X Xtratuf 12"" Insulated Elite Boots","086189121651","20138030-fco-007598162","13","Brown",195.0,"USD","50003","Portland","Main",0
"TACTICAL BOOT SOCK","087839128297","F1320129978-1-MilGrn-XL-USA","XL","Mltrygrn",9999.99,"USD","50003","Portland","Main",0
"Tactical Boot Sock","087839129409","20129978-fco-002108303","XL","CoyoteBrwn",13.0,"USD","50003","Portland","Main",0
"FILSON X XTRATUF 15"" INSULATED ELITE LEGACY BOOTS","193715477561","F1320245378-1-Nvy-8-CHN","8","Navy",67.5,"USD","50003","Portland","Main",0
"FILSON X XTRATUF 15"" INSULATED ELITE LEGACY BOOTS","193715477578","F1320245378-1-Nvy-9-CHN","9","Navy",67.5,"USD","50003","Portland","Main",0
"FILSON X XTRATUF 15"" INSULATED ELITE LEGACY BOOTS","193715477585","F1320245378-1-Nvy-10-CHN","10","Navy",67.5,"USD","50003","Portland","Main",0
"FILSON X XTRATUF 15"" INSULATED ELITE LEGACY BOOTS","193715477592","F1320245378-1-Nvy-11-CHN","11","Navy",67.5,"USD","50003","Portland","Main",0
"FILSON X XTRATUF 15"" INSULATED ELITE LEGACY BOOTS","193715477608","F1320245378-1-Nvy-12-CHN","12","Navy",67.5,"USD","50003","Portland","Main",0
